Numero de personas con 18 o mas años: 87%
La edad mas alta es:125
La edad mas baja es:3
Porcentaje de edades:
Con 3 años: 2.0%
Con 4 años: 2.0%
Con 7 años: 2.0%
Con 8 años: 3.0%
Con 12 años: 1.0%
Con 13 años: 1.0%
Con 14 años: 1.0%
Con 15 años: 1.0%
Con 18 años: 1.0%
Con 22 años: 1.0%
Con 23 años: 2.0%
Con 25 años: 1.0%
Con 26 años: 1.0%
Con 27 años: 6.0%
Con 29 años: 2.0%
Con 30 años: 2.0%
Con 32 años: 1.0%
Con 33 años: 1.0%
Con 34 años: 1.0%
Con 36 años: 1.0%
Con 38 años: 1.0%
Con 39 años: 1.0%
Con 40 años: 1.0%
Con 42 años: 2.0%
Con 43 años: 1.0%
Con 44 años: 2.0%
Con 46 años: 2.0%
Con 47 años: 1.0%
Con 48 años: 1.0%
Con 50 años: 1.0%
Con 52 años: 1.0%
Con 53 años: 1.0%
Con 60 años: 1.0%
Con 61 años: 1.0%
Con 62 años: 2.0%
Con 63 años: 2.0%
Con 64 años: 1.0%
Con 66 años: 2.0%
Con 68 años: 1.0%
Con 69 años: 2.0%
Con 70 años: 2.0%
Con 71 años: 1.0%
Con 72 años: 1.0%
Con 76 años: 1.0%
Con 78 años: 1.0%
Con 81 años: 1.0%
Con 82 años: 1.0%
Con 86 años: 2.0%
Con 87 años: 2.0%
Con 90 años: 1.0%
Con 91 años: 1.0%
Con 92 años: 1.0%
Con 94 años: 1.0%
Con 96 años: 1.0%
Con 97 años: 1.0%
Con 102 años: 1.0%
Con 103 años: 1.0%
Con 105 años: 1.0%
Con 107 años: 2.0%
Con 108 años: 4.0%
Con 110 años: 1.0%
Con 111 años: 1.0%
Con 114 años: 2.0%
Con 115 años: 2.0%
Con 116 años: 2.0%
Con 117 años: 1.0%
Con 118 años: 1.0%
Con 121 años: 1.0%
Con 122 años: 1.0%
Con 125 años: 1.0%
